"","symbol","company","date","open","high","low","close","volume","adjusted"
"63","AAPL","Apple Inc.",2020-09-29,114.550003,115.309998,113.57,114.089996,99382200,113.893501
"64","AAPL","Apple Inc.",2020-09-30,113.790001,117.260002,113.620003,115.809998,142675200,115.610542
"65","AAPL","Apple Inc.",2020-10-01,117.639999,117.720001,115.830002,116.790001,116120400,116.58886
"66","AAPL","Apple Inc.",2020-10-02,112.889999,115.370003,112.220001,113.019997,144712000,112.825348
"67","AAPL","Apple Inc.",2020-10-05,113.910004,116.650002,113.550003,116.5,106243800,116.299355
"68","AAPL","Apple Inc.",2020-10-06,115.699997,116.120003,112.25,113.160004,161498200,112.965111
"69","AAPL","Apple Inc.",2020-10-07,114.620003,115.550003,114.129997,115.080002,96849000,114.881805
"70","AAPL","Apple Inc.",2020-10-08,116.25,116.400002,114.589996,114.970001,83477200,114.771988
"71","AAPL","Apple Inc.",2020-10-09,115.279999,117,114.919998,116.970001,100506900,116.768547
"72","AAPL","Apple Inc.",2020-10-12,120.059998,125.18,119.279999,124.400002,240226800,124.185753
"73","AAPL","Apple Inc.",2020-10-13,125.269997,125.389999,119.650002,121.099998,262330500,120.891434
"74","AAPL","Apple Inc.",2020-10-14,121,123.029999,119.620003,121.190002,151062300,120.981277
"75","AAPL","Apple Inc.",2020-10-15,118.720001,121.199997,118.150002,120.709999,112559200,120.502106
"76","AAPL","Apple Inc.",2020-10-16,121.279999,121.550003,118.809998,119.019997,115393800,118.81501
"77","AAPL","Apple Inc.",2020-10-19,119.959999,120.419998,115.660004,115.980003,120639300,115.780251
"78","AAPL","Apple Inc.",2020-10-20,116.199997,118.980003,115.629997,117.510002,124423700,117.307617
"79","AAPL","Apple Inc.",2020-10-21,116.669998,118.709999,116.449997,116.870003,89946000,116.668724
"80","AAPL","Apple Inc.",2020-10-22,117.449997,118.040001,114.589996,115.75,101988000,115.550644
"81","AAPL","Apple Inc.",2020-10-23,116.389999,116.550003,114.279999,115.040001,82572600,114.841873
"82","AAPL","Apple Inc.",2020-10-26,114.010002,116.550003,112.879997,115.050003,111850700,114.851852
"83","AAPL","Apple Inc.",2020-10-27,115.489998,117.279999,114.540001,116.599998,92276800,116.399178
"84","AAPL","Apple Inc.",2020-10-28,115.050003,115.43,111.099998,111.199997,143937800,111.008476
"85","AAPL","Apple Inc.",2020-10-29,112.370003,116.93,112.199997,115.32,146129200,115.121384
"86","AAPL","Apple Inc.",2020-10-30,111.059998,111.989998,107.720001,108.860001,190272600,108.672516
"87","AAPL","Apple Inc.",2020-11-02,109.110001,110.68,107.32,108.769997,122866900,108.582664
"88","AAPL","Apple Inc.",2020-11-03,109.660004,111.489998,108.730003,110.440002,107624400,110.249794
"89","AAPL","Apple Inc.",2020-11-04,114.139999,115.589996,112.349998,114.949997,138235500,114.752022
"90","AAPL","Apple Inc.",2020-11-05,117.949997,119.620003,116.870003,119.029999,126387100,118.824997
"91","AAPL","Apple Inc.",2020-11-06,118.32,119.199997,116.129997,118.690002,114457900,118.690002
"92","AAPL","Apple Inc.",2020-11-09,120.5,121.989998,116.050003,116.32,154515300,116.32
"93","AAPL","Apple Inc.",2020-11-10,115.550003,117.589996,114.129997,115.970001,138023400,115.970001
"94","AAPL","Apple Inc.",2020-11-11,117.190002,119.629997,116.440002,119.489998,112295000,119.489998
"95","AAPL","Apple Inc.",2020-11-12,119.620003,120.529999,118.57,119.209999,103162300,119.209999
"96","AAPL","Apple Inc.",2020-11-13,119.440002,119.669998,117.870003,119.260002,81581900,119.260002
"97","AAPL","Apple Inc.",2020-11-16,118.919998,120.989998,118.150002,120.300003,91183000,120.300003
"98","AAPL","Apple Inc.",2020-11-17,119.550003,120.669998,118.959999,119.389999,74271000,119.389999
"99","AAPL","Apple Inc.",2020-11-18,118.610001,119.82,118,118.029999,76322100,118.029999
"100","AAPL","Apple Inc.",2020-11-19,117.589996,119.059998,116.809998,118.639999,74113000,118.639999
"101","AAPL","Apple Inc.",2020-11-20,118.639999,118.769997,117.290001,117.339996,73391400,117.339996
"102","AAPL","Apple Inc.",2020-11-23,117.18,117.620003,113.75,113.849998,127959300,113.849998
"103","AAPL","Apple Inc.",2020-11-24,113.910004,115.849998,112.589996,115.169998,113874200,115.169998
"104","AAPL","Apple Inc.",2020-11-25,115.550003,116.75,115.169998,116.029999,76499200,116.029999
"105","AAPL","Apple Inc.",2020-11-27,116.57,117.489998,116.220001,116.589996,46691300,116.589996
"106","AAPL","Apple Inc.",2020-11-30,116.970001,120.970001,116.809998,119.050003,169410200,119.050003
"107","AAPL","Apple Inc.",2020-12-01,121.010002,123.470001,120.010002,122.720001,128166800,122.720001
"108","TSLA","Tesla Inc.",2020-07-01,216.600006,227.065994,216.100006,223.925995,66634500,223.925995
"109","TSLA","Tesla Inc.",2020-07-02,244.296005,245.600006,237.119995,241.731995,86250500,241.731995
"110","TSLA","Tesla Inc.",2020-07-06,255.337997,275.558014,253.207993,274.31601,102849500,274.31601
"111","TSLA","Tesla Inc.",2020-07-07,281.002014,285.899994,267.34201,277.971985,107448500,277.971985
"112","TSLA","Tesla Inc.",2020-07-08,281,283.451996,262.268005,273.175995,81556500,273.175995
"113","TSLA","Tesla Inc.",2020-07-09,279.39801,281.712006,270.256012,278.855988,58588000,278.855988
"114","TSLA","Tesla Inc.",2020-07-10,279.200012,309.783997,275.201996,308.929993,116688000,308.929993
"115","TSLA","Tesla Inc.",2020-07-13,331.799988,358.997986,294.221985,299.411987,194927000,299.411987
"116","TSLA","Tesla Inc.",2020-07-14,311.200012,318,286.200012,303.359985,117090500,303.359985
"117","TSLA","Tesla Inc.",2020-07-15,308.600006,310,291.399994,309.201996,81839000,309.201996
"118","TSLA","Tesla Inc.",2020-07-16,295.432007,306.34201,293.200012,300.127991,71504000,300.127991
"119","TSLA","Tesla Inc.",2020-07-17,302.690002,307.502014,298,300.167999,46650000,300.167999
"120","TSLA","Tesla Inc.",2020-07-20,303.802002,330,297.600006,328.600006,85607000,328.600006
"121","TSLA","Tesla Inc.",2020-07-21,327.985992,335,311.600006,313.671997,80786500,313.671997
"122","TSLA","Tesla Inc.",2020-07-22,319.799988,325.283997,312.399994,318.466003,70805500,318.466003
"123","TSLA","Tesla Inc.",2020-07-23,335.790009,337.799988,296.153992,302.614014,121642500,302.614014
"124","TSLA","Tesla Inc.",2020-07-24,283.201996,293,273.308014,283.399994,96983000,283.399994
"125","TSLA","Tesla Inc.",2020-07-27,287,309.588013,282.600006,307.920013,80243500,307.920013
"126","TSLA","Tesla Inc.",2020-07-28,300.799988,312.940002,294.884003,295.298004,79043500,295.298004
"127","TSLA","Tesla Inc.",2020-07-29,300.200012,306.962006,297.399994,299.821991,47134500,299.821991
"128","TSLA","Tesla Inc.",2020-07-30,297.600006,302.64801,294.200012,297.497986,38105000,297.497986
"129","TSLA","Tesla Inc.",2020-07-31,303,303.410004,284.196014,286.152008,61235000,286.152008
"130","TSLA","Tesla Inc.",2020-08-03,289.839996,301.962006,288.876007,297,44046500,297
"131","TSLA","Tesla Inc.",2020-08-04,299.002014,305.481995,292.399994,297.399994,42075000,297.399994
"132","TSLA","Tesla Inc.",2020-08-05,298.597992,299.967987,293.661987,297.003998,24890000,297.003998
"133","TSLA","Tesla Inc.",2020-08-06,298.165985,303.462006,295.451996,297.915985,29961500,297.915985
"134","TSLA","Tesla Inc.",2020-08-07,299.90799,299.950012,283.002014,290.541992,44482000,290.541992
"135","TSLA","Tesla Inc.",2020-08-10,289.600006,291.5,277.167999,283.713989,37611500,283.713989
"136","TSLA","Tesla Inc.",2020-08-11,279.200012,284,273,274.877991,43129000,274.877991
"137","TSLA","Tesla Inc.",2020-08-12,294,317,287,310.951996,109494000,310.951996
"138","TSLA","Tesla Inc.",2020-08-13,322.200012,330.235992,313.451996,324.200012,102126500,324.200012
"139","TSLA","Tesla Inc.",2020-08-14,332.997986,333.76001,325.328003,330.141998,62888000,330.141998
"140","TSLA","Tesla Inc.",2020-08-17,335.399994,369.171997,334.56601,367.127991,101211500,367.127991
"141","TSLA","Tesla Inc.",2020-08-18,379.798004,384.779999,369.022003,377.417999,82372500,377.417999
"142","TSLA","Tesla Inc.",2020-08-19,373,382.200012,368.242004,375.705994,61026500,375.705994
"143","TSLA","Tesla Inc.",2020-08-20,372.135986,404.39801,371.411987,400.365997,103059000,400.365997
"144","TSLA","Tesla Inc.",2020-08-21,408.951996,419.097992,405.01001,409.996002,107448000,409.996002
"145","TSLA","Tesla Inc.",2020-08-24,425.256012,425.799988,385.503998,402.839996,100318000,402.839996
"146","TSLA","Tesla Inc.",2020-08-25,394.977997,405.589996,393.600006,404.667999,53294500,404.667999
"147","TSLA","Tesla Inc.",2020-08-26,412,433.200012,410.726013,430.634003,71197000,430.634003
"148","TSLA","Tesla Inc.",2020-08-27,436.09201,459.119995,428.5,447.75,118465000,447.75
"149","TSLA","Tesla Inc.",2020-08-28,459.023987,463.697998,437.303986,442.679993,100406000,442.679993
"150","TSLA","Tesla Inc.",2020-08-31,444.609985,500.140015,440.109985,498.320007,118374400,498.320007
"151","TSLA","Tesla Inc.",2020-09-01,502.140015,502.48999,470.51001,475.049988,90119400,475.049988
"152","TSLA","Tesla Inc.",2020-09-02,478.98999,479.040009,405.119995,447.369995,96176100,447.369995
"153","TSLA","Tesla Inc.",2020-09-03,407.230011,431.799988,402,407,87596100,407
"154","TSLA","Tesla Inc.",2020-09-04,402.809998,428,372.019989,418.320007,110321900,418.320007
"155","TSLA","Tesla Inc.",2020-09-08,356,368.73999,329.880005,330.209991,115465700,330.209991
"156","TSLA","Tesla Inc.",2020-09-09,356.600006,369,341.51001,366.279999,79465800,366.279999
"157","TSLA","Tesla Inc.",2020-09-10,386.209991,398.98999,360.559998,371.339996,84930600,371.339996
"158","TSLA","Tesla Inc.",2020-09-11,381.940002,382.5,360.5,372.720001,60717500,372.720001
"159","TSLA","Tesla Inc.",2020-09-14,380.950012,420,373.299988,419.619995,83020600,419.619995
"160","TSLA","Tesla Inc.",2020-09-15,436.559998,461.940002,430.700012,449.76001,97298200,449.76001
"161","TSLA","Tesla Inc.",2020-09-16,439.869995,457.790009,435.309998,441.76001,72279300,441.76001
"162","TSLA","Tesla Inc.",2020-09-17,415.600006,437.790009,408,423.429993,76779200,423.429993
"163","TSLA","Tesla Inc.",2020-09-18,447.940002,451,428.799988,442.149994,86406800,442.149994
"164","TSLA","Tesla Inc.",2020-09-21,453.130005,455.679993,407.070007,449.390015,109476800,449.390015
"165","TSLA","Tesla Inc.",2020-09-22,429.600006,437.76001,417.600006,424.230011,79580800,424.230011
"166","TSLA","Tesla Inc.",2020-09-23,405.160004,412.149994,375.880005,380.359985,95074200,380.359985
"167","TSLA","Tesla Inc.",2020-09-24,363.799988,399.5,351.299988,387.790009,96561100,387.790009
"168","TSLA","Tesla Inc.",2020-09-25,393.470001,408.730011,391.299988,407.339996,67208500,407.339996
"169","TSLA","Tesla Inc.",2020-09-28,424.619995,428.079987,415.549988,421.200012,49719600,421.200012
"170","TSLA","Tesla Inc.",2020-09-29,416,428.5,411.600006,419.070007,50219300,419.070007
"171","TSLA","Tesla Inc.",2020-09-30,421.320007,433.929993,420.470001,429.01001,48145600,429.01001
